"Charles Edward Carey",,,,
"Lucy Salek",,,,
"Massimo DiMambro",,,,
"Maureen Martin","Q76130607","2019 United Kingdom general election","Lewisham East","Christian Peoples Alliance"
"Patrick Gray",,,,
"Rosamund Adoo-Kissi-Debrah","Q75975492","2019 United Kingdom general election","Lewisham East","Green Party of England and Wales"
"Ross Archer",,,,
"Sean Finch","Q76119883","2019 United Kingdom general election","Sevenoaks","Libertarian Party"
"Thomas Hall","Q76120082","2019 United Kingdom general election","Epping Forest","Young People's Party UK"
